年度,總人數,平均單場,新莊,桃園,洲際,澄清湖
16 (2005),1025695 ,3408 ,3247 ,0 ,0 ,2896 
17 (2006),679205 ,2264 ,1741 ,0 ,0 ,2746 
18 (2007),612887 ,2043 ,1667 ,0 ,0 ,2657 
19 (2008),572692 ,1922 ,1684 ,0 ,0 ,2067 
20 (2009),898323 ,3742 ,3676 ,0 ,0 ,3407 
21 (2010),645648 ,2690 ,3293 ,5557 ,4780 ,2073 
22 (2011),719971 ,3000 ,3554 ,3114 ,2862 ,4208 
23 (2012),583805 ,2433 ,2047 ,2375 ,2999 ,4838 
24 (2013),1459072 ,6079 ,5788 ,5921 ,7082 ,6316 
25 (2014),1224730 ,5103 ,4132 ,6241 ,4612 ,4409 
26 (2015),1327639 ,5531 ,5603 ,7043 ,6287 ,4308 
27 (2016),1409312 ,5872 ,6461 ,7509 ,5825 ,4686 
